genre,weight,avg_streams,country
rap,7.571428571428571,335448.0782312925,jp
reggae,1.0,273843.0,jp
reggaeton,8.666666666666666,163591.55555555556,jp
rock,2.5,500678.8333333334,jp
soul,2.0,140538.75,jp
techno,1.0,446144.0,jp
trance,2.0,73274.0,jp
trap,2.6,155004.86666666667,jp
tropical house,5.333333333333333,514181.0,jp
adult standards,1.8,6561658.9,us
afrobeat,1.5,5136281.0,us
afropop,2.3333333333333335,3990479.0555555555,us
azonto,1.1666666666666667,4627841.0,us
bachata,1.0,3053513.0,us
blues,1.5,5136281.0,us
blues rock,1.75,2259513.0,us
brazilian funk,1.3333333333333333,5925788.0,us
celtic,1.0,2379926.0,us
classic rock,1.5714285714285714,6024141.0,us
classical,1.0,8891041.0,us
country,3.347826086956522,32444614.379503105,us
country pop,1.5,36683940.75,us
country rap,1.5,18930253.0625,us
county rock,1.7777777777777777,28576902.75,us
dance,2.55,11081618.254166666,us
dance pop,14.46808510638298,12747065.850299496,us
dancehall,2.272727272727273,2601505.242424242,us
deep pop r&b,2.5555555555555554,3463064.611111111,us
dembow,1.3636363636363635,1835132.0,us
disco,1.0,1540968.0,us
disco house,1.0,1608155.0,us
drill,3.8181818181818183,2156621.6536796535,us
dubstep,3.0384615384615383,21695612.466025643,us
easy listening,1.25,6083483.125,us
electro,7.67741935483871,11095813.51020619,us
electro house,3.870967741935484,20820501.6191733,us
electropop,8.038461538461538,21167585.292778056,us
emo,2.5714285714285716,18892197.95238095,us
escape room,4.090909090909091,4377511.616666666,us
europop,2.3333333333333335,4565902.0,us
experimental,1.25,12927022.0,us
folk,1.2857142857142858,3372522.714285714,us
folk rock,1.0,12927022.0,us
gospel,1.5555555555555556,2496106.5555555555,us
grime,2.6,6915821.966666666,us
hip hop,87.90625,9260181.531694002,us
house,3.8095238095238093,12239426.94077272,us
indie,3.7142857142857144,7336139.059523809,us
indie pop,3.5833333333333335,24760579.49107143,us
indie pop rap,4.0,9391342.066666666,us
indie r&b,2.0,3101937.9285714286,us
